what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410357878054
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410357931486
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410357933851
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410358670884
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410358672251
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410359259106
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1410359268771
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410359285759
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410375622194
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410375622570
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410375641098
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410375642079
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410415558413
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1410415574872
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1410415578799
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1410415590859
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1410415590956
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1410415599667
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1410415599710
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410415599897
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1410415627513
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1410415627580
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410415627959
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1410415627987
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1410415637476
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1410415642822
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1410415644589
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410415649549
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410415649620
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410415657672
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1410415657711
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1410415657712
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1410415657770
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410415667454
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410415691135
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1410415691255
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1410415691306
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1410415691441
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1410415691480
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1410415694680
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410415696731
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410415696771
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410415698667
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1410415698699
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1410415698700
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1410415698749
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1410415702295
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1410415704440
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1410415706634
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410415711584
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410415723531
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410415726479
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410415728115
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410415728757
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410415742603
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1410415751329
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1410415756992
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1410415765966
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1410415778700
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410415843049
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410433952718
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410433963440
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410433988829
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410433993915
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410434003564
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1410434024825
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1410434037609
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410434103681
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410434108849
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410434110009
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410434112765
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1410434134638
error,log,,,"Unable to get CElement for Macro",1410434160682
error,log,,,"Unable to get CElement for Macro",1410434160684
error,log,,,"Unable to get CElement for Macro",1410434160684
error,log,,,"Unable to get CElement for Macro",1410434160685
error,log,,,"Unable to get CElement for Macro",1410434160686
error,log,,,"Unable to get CElement for Macro",1410434160686
error,log,,,"Unable to get CElement for Macro",1410434160687
error,log,,,"Unable to get CElement for Macro",1410434160687
error,log,,,"Unable to get CElement for Macro",1410434160688
error,log,,,"Unable to get CElement for Macro",1410434160689
error,log,,,"Unable to get CElement for Macro",1410434160689
error,log,,,"Unable to get CElement for Macro",1410434160690
error,log,,,"Unable to get CElement for Macro",1410434160690
error,log,,,"Unable to get CElement for Macro",1410434160691
error,log,,,"Unable to get CElement for Macro",1410434160692
error,log,,,"Unable to get CElement for Macro",1410434160693
error,log,,,"Unable to get CElement for Macro",1410434160693
error,log,,,"Unable to get CElement for Macro",1410434160694
error,log,,,"Unable to get CElement for Macro",1410434160695
error,log,,,"Unable to get CElement for Macro",1410434160695
error,log,,,"Unable to get CElement for Macro",1410434160696
error,log,,,"Unable to get CElement for Macro",1410434160696
error,log,,,"Unable to get CElement for Macro",1410434160697
error,log,,,"Unable to get CElement for Macro",1410434160698
error,log,,,"Unable to get CElement for Macro",1410434160698
error,log,,,"Unable to get CElement for Macro",1410434160699
error,log,,,"Unable to get CElement for Macro",1410434160699
error,log,,,"Unable to get CElement for Macro",1410434160700
error,log,,,"Unable to get CElement for Macro",1410434160704
error,log,,,"Unable to get CElement for Macro",1410434160705
error,log,,,"Unable to get CElement for Macro",1410434160706
error,log,,,"Unable to get CElement for Macro",1410434160706
error,log,,,"Unable to get CElement for Macro",1410434160707
error,log,,,"Unable to get CElement for Macro",1410434160708
error,log,,,"Unable to get CElement for Macro",1410434160708
error,log,,,"Unable to get CElement for Macro",1410434160709
error,log,,,"Unable to get CElement for Macro",1410434160709
error,log,,,"Unable to get CElement for Macro",1410434160710
error,log,,,"Unable to get CElement for Macro",1410434160711
error,log,,,"Unable to get CElement for Macro",1410434160711
error,log,,,"Unable to get CElement for Macro",1410434160712
error,log,,,"Unable to get CElement for Macro",1410434160712
error,log,,,"Unable to get CElement for Macro",1410434160713
error,log,,,"Unable to get CElement for Macro",1410434160714
error,log,,,"Unable to get CElement for Macro",1410434160714
error,log,,,"Unable to get CElement for Macro",1410434160715
error,log,,,"Unable to get CElement for Macro",1410434160716
error,log,,,"Unable to get CElement for Macro",1410434160716
error,log,,,"Unable to get CElement for Macro",1410434160717
error,log,,,"Unable to get CElement for Macro",1410434160717
error,log,,,"Unable to get CElement for Macro",1410434160718
error,log,,,"Unable to get CElement for Macro",1410434160719
error,log,,,"Unable to get CElement for Macro",1410434160719
error,log,,,"Unable to get CElement for Macro",1410434160720
error,log,,,"Unable to get CElement for Macro",1410434160720
error,log,,,"Unable to get CElement for Macro",1410434160721
error,log,,,"Unable to get CElement for Macro",1410434160722
error,log,,,"Unable to get CElement for Macro",1410434160722
error,log,,,"Unable to get CElement for Macro",1410434160723
error,log,,,"Unable to get CElement for Macro",1410434160723
error,log,,,"Unable to get CElement for Macro",1410434160724
error,log,,,"Unable to get CElement for Macro",1410434160724
error,log,,,"Unable to get CElement for Macro",1410434160725
error,log,,,"Unable to get CElement for Macro",1410434160726
error,log,,,"Unable to get CElement for Macro",1410434160727
error,log,,,"Unable to get CElement for Macro",1410434160728
error,log,,,"Unable to get CElement for Macro",1410434160728
error,log,,,"Unable to get CElement for Macro",1410434160729
error,log,,,"Unable to get CElement for Macro",1410434160730
error,log,,,"Unable to get CElement for Macro",1410434160730
error,log,,,"Unable to get CElement for Macro",1410434160731
error,log,,,"Unable to get CElement for Macro",1410434160731
error,log,,,"Unable to get CElement for Macro",1410434160732
error,log,,,"Unable to get CElement for Macro",1410434160733
error,log,,,"Unable to get CElement for Macro",1410434160733
error,log,,,"Unable to get CElement for Macro",1410434160734
error,log,,,"Unable to get CElement for Macro",1410434160734
error,log,,,"Unable to get CElement for Macro",1410434160735
error,log,,,"Unable to get CElement for Macro",1410434160736
error,log,,,"Unable to get CElement for Macro",1410434160736
error,log,,,"Unable to get CElement for Macro",1410434160737
error,log,,,"Unable to get CElement for Macro",1410434160738
error,log,,,"Unable to get CElement for Macro",1410434160738
error,log,,,"Unable to get CElement for Macro",1410434160739
error,log,,,"Unable to get CElement for Macro",1410434160739
error,log,,,"Unable to get CElement for Macro",1410434160740
error,log,,,"Unable to get CElement for Macro",1410434160741
error,log,,,"Unable to get CElement for Macro",1410434160741
error,log,,,"Unable to get CElement for Macro",1410434160742
error,log,,,"Unable to get CElement for Macro",1410434160742
error,log,,,"Unable to get CElement for Macro",1410434160743
error,log,,,"Unable to get CElement for Macro",1410434160743
error,log,,,"Unable to get CElement for Macro",1410434160744
error,log,,,"Unable to get CElement for Macro",1410434160745
error,log,,,"Unable to get CElement for Macro",1410434160747
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1410434160776
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1410434192557
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1410434192718
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1410434194220
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1410434194333
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410434202803
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410434203705
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410434218958
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410434281956
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410434282433
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410434283369
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410434346842
