what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1412328776128
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1412328776128
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1412328776130
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1412328776130
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1412328776132
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1412328776133
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1412328776134
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1412328776135
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1412328776137
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1412328776139
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1412328776141
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1412328776142
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1412328776146
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1412328776147
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1412328776149
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1412328776150
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1412328776151
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1412328776152
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1412328776152
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1412328776153
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1412328776155
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1412328776155
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1412328776156
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1412328776157
os,sysinfo,,,"macosx",1412328776161
arch,sysinfo,,,"x86_64",1412328776161
ws,sysinfo,,,"cocoa",1412328776161
locale,sysinfo,,,"en_US",1412328776161
processors,sysinfo,,,"4",1412328776161
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1412328776161
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1412328776161
java.specification.name,sysinfo,,,"Java Platform API Specification",1412328776161
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1412328776161
java.specification.version,sysinfo,,,"1.6",1412328776161
java.vendor,sysinfo,,,"Apple Inc.",1412328776161
java.version,sysinfo,,,"1.6.0_65",1412328776161
java.vm.info,sysinfo,,,"mixed mode",1412328776161
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1412328776161
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1412328776161
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1412328776161
java.vm.specification.version,sysinfo,,,"1.0",1412328776161
java.vm.vendor,sysinfo,,,"Apple Inc.",1412328776161
java.vm.version,sysinfo,,,"20.65-b04-462",1412328776161
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1412328782557
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1412328783266
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412328783307
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412328783379
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1412328788756
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1412328790838
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1412328792817
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1412328793694
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412328797301
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412328798315
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412328798861
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412328835199
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412328835961
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412329647471
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412329653956
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412329667091
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412329667274
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412329667304
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412329667462
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412329667492
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1412329670677
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412329672606
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412329672791
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412329674655
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1412329674708
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1412329674708
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412329674760
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1412329674809
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412329676596
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1412329682444
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412329745020
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412329756873
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412329757697
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412329758908
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412329770846
