what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410445689854
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1410445690690
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1410445692073
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1410445693383
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1410445693568
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410445694915
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410445763173
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410445763756
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410445767094
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410445804681
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410445863275
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1410445870626
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1410445892891
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1410445913086
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1410445916453
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410445917614
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410445924053
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1410445935548
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1410445936354
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1410445943022
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1410445947715
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1410445954001
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1410445959645
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410445965092
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410445966467
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1410949322943
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1410949322945
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1410949322946
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1410949322946
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1410949322949
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1410949322951
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1410949322952
