what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412336730410
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412336786116
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412336923474
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412336987445
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1412336994543
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412337311727
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412337312753
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412337313140
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412337746343
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412337750965
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412337769382
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412337770127
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412337781039
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412337782207
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412337791448
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412337795082
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1412337795814
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412337796224
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412337796464
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412337797211
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412337819771
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412337821025
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412337852287
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412337852726
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412338001208
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1412338012084
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1412338014168
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412338022202
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412338025874
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412338120497
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412338939614
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412338940596
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412339028386
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412339029075
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412339062923
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412339114719
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412339137866
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412339138915
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412339180987
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412339182643
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412339204332
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412339205048
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412339205667
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412339206559
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412339249876
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412339250982
